IDX,Name,Abb,Smiles,Level,Similarity,StructPic
0,M85,cPr-Gly,O=C(O)CNC1CC1,4,0.179057117,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/85.png
1,M104,nBu-Gly,CCCCNCC(=O)O,4,0.154198842,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/104.png
2,M558,,O=C(O)CNCc1ccncc1,4,0.143134401,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/558.png
3,M559,,O=C(O)CNC1CC2(C1)CC(F)(F)C2,4,0.134159483,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/559.png
4,M564,,CC(C)(O)/C=C/CNCC(=O)O,4,0.132005558,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/564.png
5,M568,,COC/C=C/CNCC(=O)O,4,0.131821403,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/568.png
6,M94,Mfe-Gly,O=C(O)CNCCF,4,0.131631632,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/94.png
7,M93,Pra-Gly,C#CCNCC(=O)O,4,0.126073093,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/93.png
8,M407,isoBu-Gly,CC(C)CNCC(=O)O,4,0.122278057,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/407.png
9,M95,Dfe-Gly,O=C(O)CNCC(F)F,4,0.119758976,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/95.png
10,M404,iPr-Gly,CC(C)NCC(=O)O,4,0.118427641,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/404.png
11,M554,,O=C(O)CNCCc1ccncc1,4,0.118344828,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/554.png
12,M563,,O=C(O)CNC/C=C/CCO,4,0.117395223,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/563.png
13,M617,,O=C(O)CNCCC1CNC1,4,0.115845539,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/617.png
14,M405,EtOEt-Gly,CCOCCNCC(=O)O,4,0.115615187,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/405.png
15,M610,,O=C(O)CNc1ccc(Cl)cc1,4,0.115191546,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/610.png
16,M555,,O=C(O)CNC1CC2(COC2)C1,4,0.114301491,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/555.png
17,M611,,O=C(O)CNc1ccsc1,4,0.113399231,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/611.png
18,M566,,O=C(O)CNCCCCCO,4,0.110746514,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/566.png
19,M659,Benz-Gly,O=C(O)CNc1ccccc1,4,0.10868407,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/659.png
20,M618,,CNCCOCCNCC(=O)O,4,0.105129975,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/618.png
