IDX,Name,Abb,Smiles,Level,Similarity,StructPic,RamaPic
0,M85,cPr-Gly,O=C(O)CNC1CC1,4,0.179057117,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/85.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M85.png
1,M558,,O=C(O)CNCc1ccncc1,4,0.143134401,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/558.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M558.png
2,M93,Pra-Gly,C#CCNCC(=O)O,4,0.126073093,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/93.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M93.png
3,M407,isoBu-Gly,CC(C)CNCC(=O)O,4,0.122278057,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/407.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M407.png
4,M404,iPr-Gly,CC(C)NCC(=O)O,4,0.118427641,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/404.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M404.png
5,M555,,O=C(O)CNC1CC2(COC2)C1,4,0.114301491,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/555.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M555.png
6,M659,Benz-Gly,O=C(O)CNc1ccccc1,4,0.10868407,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/659.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M659.png
7,M86,nPr-Gly,CCCNCC(=O)O,4,0.100024044,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/86.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M86.png
8,267,"Pro(3-hydroxy,cis)",O=C(O)[C@H]1NCC[C@H]1O,4,0.021656354,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/267.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_267.png
9,M561,,O=C(O)CNCCO,3,0.08291736,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/561.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M561.png
10,M80,Et-Gly,CCNCC(=O)O,3,0.073608137,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/80.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M80.png
11,M300,isoVal,CC[C@](C)(N)C(=O)O,3,0.029022403,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/300.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M300.png
12,M74,Gly(cPr),N[C@H](C(=O)O)C1CC1,3,0.023611111,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/74.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M74.png
13,M57,Me-Gly(cPr),CN[C@H](C(=O)O)C1CC1,2,0.06863809,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/57.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M57.png
14,M8,Azp(2),O=C(O)[C@@H]1CCCCCN1,2,0.062166963,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/8.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M8.png
15,M308,aMe-Ile,CC[C@H](C)[C@](C)(N)C(=O)O,2,0.031018519,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/308.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M308.png
16,M87,NCMe-Gly,N#CCNCC(=O)O,2,0.030052385,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/87.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M87.png
17,M306,aMe-Gly(cPr),C[C@@](N)(C(=O)O)C1CC1,2,0.022693636,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/306.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M306.png
18,M624,,C=CC[C@](C)(N)C(=O)O,2,0.019507187,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/624.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M624.png
19,M309,aMe-Nva,CCC[C@](C)(N)C(=O)O,2,0.008425614,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/309.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M309.png
20,41,Me-Ser,CN[C@@H](CO)C(=O)O,2,0.006534305,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/41.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_41.png
21,M317,Me-Ac4c,CNC1(C(=O)O)CCC1,1,0.130563798,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/317.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M317.png
22,M45,Me-Val,CN[C@H](C(=O)O)C(C)C,1,0.090063762,https://github.com/ivandon15/syn_data/raw/main/pos6_struct/45.png,https://github.com/ivandon15/syn_data/raw/main/pos_rama/pos6_M45.png
